anchor_id,anchor_name,product_id,product_title,product_url,product_category_value,previous_evidence_level,audited_connection_class,strict_match_eligible,audited_reason,evidence_text
official-fukuoka-guide-26800,마린월드 우미노나카미치,5869302,후쿠오카 마린월드 우미노나카미치 수족관 입장권,https://experiences.myrealtrip.com/products/5869302,ticket,ticket_product_confirmed,direct_ticket,true,시설명이 상품 제목에 직접 등장하는 단독 입장권,마린월드 우미노나카미치
official-fukuoka-guide-26800,마린월드 우미노나카미치,6178107,[아쿠아리움] 마린 월드 우미노나카미치 입장권,https://experiences.myrealtrip.com/products/6178107,ticket,ticket_product_confirmed,direct_ticket,true,시설명이 상품 제목에 직접 등장하는 단독 입장권,마린월드 우미노나카미치
official-fukuoka-guide-26798,후쿠오카 타워,125248,후쿠오카 타워 전망대 입장권,https://www.myrealtrip.com/offers/125248,ticket,ticket_product_confirmed,direct_ticket,true,시설명이 상품 제목에 직접 등장하는 단독 입장권,후쿠오카 타워
official-fukuoka-guide-26798,후쿠오카 타워,6083008,[즉시확정/당일사용] 후쿠오카 타워 전망대 입장권,https://experiences.myrealtrip.com/products/6083008,ticket,ticket_product_confirmed,direct_ticket,true,시설명이 상품 제목에 직접 등장하는 단독 입장권,후쿠오카 타워
official-fukuoka-guide-26792,캐널시티 하카타,3841906,"[당일] 눈과 입이 즐거운 식도락의 도시, 후쿠오카 시티투어 (비디오 가이드) #1+1",https://experiences.myrealtrip.com/products/3841906,tour,tour_detail_confirmed,confirmed_scheduled_visit,true,공개 일정 또는 MCP 상세에서 고정 방문 코스로 직접 확인,"전체 일정 · 코스1 · 캐널시티 하카타: 캐널시티 하카타 '스타필드', '타임스퀘어', '아이파크몰'과 같은 복합 쇼핑몰입니다. 다양한 패션 소품 상점부터 음식점, 카페, 영화관 등이 있죠. 또한, 이곳에서는 분수 쇼도 있어서 볼거리와 즐길 거리가 가득합니다."
official-fukuoka-guide-26792,캐널시티 하카타,4159277,[유후인/벳푸/후쿠오카 프라이빗] 일본 큐슈 2일 프라이빗 투어 (FUK-2020),https://experiences.myrealtrip.com/products/4159277,tour,tour_detail_confirmed,confirmed_scheduled_visit,true,공개 일정 또는 MCP 상세에서 고정 방문 코스로 직접 확인,"전체 일정 · 코스1 · ◆ 캐널 시티 히카타: ◆ 캐널 시티 히카타 캐널시티 하카타는 단순한 쇼핑몰이 아니라 '도시속의 하나의 도시' '즐거움이 교차하는 미래도시형 공간'을 컨셉으로 15만평의 부지위에 만든 미래도시 입니다. 6개 대형건물이 마치 하나의 쇼핑몰을 이루듯 모여있고, 그 사이를 길이 180m의 인공운하가 구불구불 흐르면서 역동적인 공간을 연출하고 있습니다."
official-fukuoka-guide-26792,캐널시티 하카타,4159287,[후쿠오카/유후인/벳푸/구마모토 프라이빗] 일본 큐슈 3일 알찬 투어 (FUK-2030),https://experiences.myrealtrip.com/products/4159287,tour,tour_detail_confirmed,confirmed_scheduled_visit,true,공개 일정 또는 MCP 상세에서 고정 방문 코스로 직접 확인,"전체 일정 · 코스1 · ◆ 캐널 시티 히카타: ◆ 캐널 시티 히카타 캐널시티 하카타는 단순한 쇼핑몰이 아니라 '도시속의 하나의 도시' '즐거움이 교차하는 미래도시형 공간'을 컨셉으로 15만평의 부지위에 만든 미래도시 입니다. 6개 대형건물이 마치 하나의 쇼핑몰을 이루듯 모여있고, 그 사이를 길이 180m의 인공운하가 구불구불 흐르면서 역동적인 공간을 연출하고 있습니다."
official-fukuoka-guide-26798,후쿠오카 타워,3520869,1DAY 드라이빙 맞춤여행 투어! 후쿠오카 시내 근교지역을 자유롭게 맞춤투어 / 로컬투어,https://experiences.myrealtrip.com/products/3520869,tour,tour_detail_confirmed,option_available,false,상품이 자유 맞춤투어이며 후쿠오카 타워는 가능한 코스 예시이지 고정 방문지가 아님,"전체 일정 · 코스1 · 후쿠오카 타워 / 시사이드 모모치 해변: 후쿠오카 타워 / 시사이드 모모치 해변 일본 최고의 높이를 자랑하는 후쿠오카의 랜드마크인 후쿠오카 타워가 있는 시사이드 모모치 해변공원은 주위에 자연과 어우러진 산책로와 페이페이 돔과 마리존, 마크이즈 쇼핑몰이 위치해 있어 후쿠오카시의 인기 데이트 장소이기도 합니다"
official-fukuoka-guide-26798,후쿠오카 타워,3521464,후쿠오카 시내 지역을 쉽고! 짧고! 굵게! 확실하게! 반나절동안 차량으로 드라이빙 투어,https://experiences.myrealtrip.com/products/3521464,tour,tour_detail_confirmed,option_available,false,일정 제목이 '가이드 추천 옵션 선택'으로 명시되어 고정 방문으로 볼 수 없음,"전체 일정 · 코스1 · 01) 가이드 추천 옵션 선택 ➜ 후쿠오카 타워 (모모치 해변) + 마리노아시티 후쿠오카 아울렛 쇼핑몰: 01) 가이드 추천 옵션 선택 ➜ 후쿠오카 타워 (모모치 해변) + 마리노아시티 후쿠오카 아울렛 쇼핑몰 < 후쿠오카타워 (모모치해변) + 마리노아시티 후쿠오카 쇼핑몰 > 심플한 코스로 부담없는 소요시간과 합리적인 비용으로 후쿠오카의 랜드마크인 일본에서 3번째로 높은 후쿠오카 타워와 송림숲이 길다란 해변가로 뻗어있는 모모치 해변 공원, 후쿠오카 아울렛 매장이 있는 마리노아시티 후쿠오카를 프라이빗 차량으로 둘러 보실수 있도록 구성된 심플한 코스입니다."
official-fukuoka-guide-26798,후쿠오카 타워,3841906,"[당일] 눈과 입이 즐거운 식도락의 도시, 후쿠오카 시티투어 (비디오 가이드) #1+1",https://experiences.myrealtrip.com/products/3841906,tour,tour_detail_confirmed,confirmed_scheduled_visit,true,공개 일정 또는 MCP 상세에서 고정 방문 코스로 직접 확인,전체 일정 · 코스1 · 후쿠오카 타워: 후쿠오카 타워 후쿠오카의 대표 랜드마크죠! 계절이나 기념일마다 다른 테마를 가지는 일루미네이션과 후쿠오카의 전망을 360도 파노라마로 볼 수 있는 곳입니다. 아름다운 뷰를 자랑하는 이곳에서 투어를 마무리 해볼게요.
