anchor_id,city_id,city_name,anchor_name,anchor_type,official_source_type,product_id,product_title,product_url,product_category,product_category_value,match_type,match_score,evidence_level,evidence_policy,evidence_text
official-fukuoka-guide-26800,jp-fukuoka,후쿠오카,マリンワールド海の中道,place,tourism_facility,5869302,후쿠오카 마린월드 우미노나카미치 수족관 입장권,https://experiences.myrealtrip.com/products/5869302,입장권,ticket,title_alias,1.0,ticket_product_confirmed,입장권은 상품 자체가 해당 시설 이용권이므로 제목/상품명 매칭을 강한 근거로 본다.,마린월드 우미노나카미치
official-fukuoka-guide-26800,jp-fukuoka,후쿠오카,マリンワールド海の中道,place,tourism_facility,6178107,[아쿠아리움] 마린 월드 우미노나카미치 입장권,https://experiences.myrealtrip.com/products/6178107,입장권,ticket,title_alias,1.0,ticket_product_confirmed,입장권은 상품 자체가 해당 시설 이용권이므로 제목/상품명 매칭을 강한 근거로 본다.,마린월드 우미노나카미치
official-fukuoka-guide-26798,jp-fukuoka,후쿠오카,福岡タワー,place,tourism_facility,125248,후쿠오카 타워 전망대 입장권,https://www.myrealtrip.com/offers/125248,입장권,ticket,title_alias,1.0,ticket_product_confirmed,입장권은 상품 자체가 해당 시설 이용권이므로 제목/상품명 매칭을 강한 근거로 본다.,후쿠오카 타워
official-fukuoka-guide-26798,jp-fukuoka,후쿠오카,福岡タワー,place,tourism_facility,6083008,[즉시확정/당일사용] 후쿠오카 타워 전망대 입장권,https://experiences.myrealtrip.com/products/6083008,입장권,ticket,title_alias,1.0,ticket_product_confirmed,입장권은 상품 자체가 해당 시설 이용권이므로 제목/상품명 매칭을 강한 근거로 본다.,후쿠오카 타워
official-kyoto-facility-0000003468,jp-kyoto,교토,鹿苑寺（金閣寺）,place,tourism_facility,4566549,"[교토역 출발, 하차가능] 오사카 버스투어 아라시야마 금각사 청수사 니코니코 일일 투어",https://experiences.myrealtrip.com/products/4566549,투어,tour,title_alias,1.0,tour_title_needs_detail,"투어 상품은 제목 매칭만으로 방문 확정하지 않고, 상세 일정/포함사항의 긍정 근거 확인이 필요하다.",금각사
official-kyoto-facility-0000003468,jp-kyoto,교토,鹿苑寺（金閣寺）,place,tourism_facility,5905319,[교토] 후시미 이나리 + 킨카쿠지 + 대나무 숲 :: 세계유산 7곳 종일 버스 투어,https://experiences.myrealtrip.com/products/5905319,투어,tour,title_alias,1.0,tour_title_needs_detail,"투어 상품은 제목 매칭만으로 방문 확정하지 않고, 상세 일정/포함사항의 긍정 근거 확인이 필요하다.",킨카쿠지
official-kyoto-facility-0000003468,jp-kyoto,교토,鹿苑寺（金閣寺）,place,tourism_facility,3425896,"[여행 한 그릇] 사진 촬영 포함, 아라시야마, 금각사, 여우신사, 청수사 교토 버스 투어",https://experiences.myrealtrip.com/products/3425896,근교투어,suburb_tour,title_alias,1.0,tour_title_needs_detail,"투어 상품은 제목 매칭만으로 방문 확정하지 않고, 상세 일정/포함사항의 긍정 근거 확인이 필요하다.",금각사
official-kyoto-facility-0000003468,jp-kyoto,교토,鹿苑寺（金閣寺）,place,tourism_facility,3154184,오사카 출발 교토 1일 버스투어 프로사진 촬영 아라시야마 금각사 청수사 후시미이나리 유투어,https://experiences.myrealtrip.com/products/3154184,근교투어,suburb_tour,title_alias,1.0,tour_title_needs_detail,"투어 상품은 제목 매칭만으로 방문 확정하지 않고, 상세 일정/포함사항의 긍정 근거 확인이 필요하다.",금각사
official-kyoto-facility-0000003468,jp-kyoto,교토,鹿苑寺（金閣寺）,place,tourism_facility,3424751,"1인출발-교토버스투어 (후시미이나리,청수사,금각사,아리시야마)교토역 &오사카 우메다 승하차",https://experiences.myrealtrip.com/products/3424751,근교투어,suburb_tour,title_alias,1.0,tour_title_needs_detail,"투어 상품은 제목 매칭만으로 방문 확정하지 않고, 상세 일정/포함사항의 긍정 근거 확인이 필요하다.",금각사
official-kyoto-facility-0000003468,jp-kyoto,교토,鹿苑寺（金閣寺）,place,tourism_facility,3425897,"[여행 한 그릇] 갖가지 혜택 포함, 아라시야마, 금각사, 여우신사, 청수사 버스 투어",https://experiences.myrealtrip.com/products/3425897,근교투어,suburb_tour,title_alias,1.0,tour_title_needs_detail,"투어 상품은 제목 매칭만으로 방문 확정하지 않고, 상세 일정/포함사항의 긍정 근거 확인이 필요하다.",금각사
